match_duration, first_dragon, first_baron, first_inhibitor, first_rift_herald, first_blood, bteam_baron_kills, bteam_dragon_kills, bteam_inhibitor_kills, bteam_rift_kills, bteam_tower_kills,bteam_largest_killing_spree, bteam_largest_multi_kill, bteam_highest_champ_lvl, bteam_best_kda, bteam_total_kills, bteam_total_assists, bteam_total_gold_earned, bteam_total_gold_spent, bteam_vision_score, bteam_wards_placed, bteam_wards_killed, bteam_total_minions_killed, bteam_total_dmg_dealt, bteam_total_dmg_dealt_to_champions, bteam_total_dmg_taken, bteam_total_dmg_healed, bteam_total_dmg_self_mitigated, bteam_total_crowd_control_dealt, rteam_baron_kills, rteam_dragon_kills, rteam_inhibitor_kills, rteam_rift_kills, rteam_tower_kills, rteam_largest_killing_spree, rteam_largest_multi_kill, rteam_highest_champ_lvl, rteam_best_kda, rteam_total_kills, rteam_total_assists, rteam_total_gold_earned, rteam_total_gold_spent, rteam_vision_score, rteam_wards_placed, rteam_wards_killed, rteam_total_minions_killed, rteam_total_dmg_dealt, rteam_total_dmg_dealt_to_champions, rteam_total_dmg_taken, rteam_total_dmg_healed, rteam_total_dmg_self_mitigated, rteam_total_crowd_control_dealt, winning_team
973,0,1,1,1,0,0,1,0,0,4,4,2,12,8.0,22,24,35917,29450,87,35,10,422,301080,36779,38293,6827,25695,682,0,0,0,1,0,7,2,10,3.5,11,18,26828,24710,59,33,7,354,196820,26258,47630,9417,27954,590,0
2292,0,1,1,1,1,0,3,0,0,3,7,1,18,9.333333333333334,32,63,68303,66448,225,103,30,783,849607,113920,157862,45361,153886,1359,2,2,3,2,11,4,2,18,3.5,34,57,75578,66225,264,111,38,803,951629,124560,141164,40689,163370,1739,1
935,0,1,1,0,1,0,1,0,1,0,2,2,11,1.3333333333333333,9,9,25791,23890,65,38,8,344,212214,29290,47203,11284,25046,632,0,1,0,0,3,4,1,11,12.0,20,22,33413,25425,82,34,17,398,261095,34801,41235,11978,32331,699,1
1475,1,1,1,1,1,0,0,0,0,1,3,1,13,2.25,17,27,41171,38420,132,64,21,552,378275,46302,87742,14726,56797,845,1,3,1,2,9,7,2,16,20.0,32,46,55735,56335,155,65,23,602,579594,74861,71981,23903,42276,657,1
914,1,1,1,1,1,0,0,0,0,0,2,2,10,1.6666666666666667,5,8,23196,21025,41,28,5,326,200688,20947,45987,7171,24088,420,0,0,0,1,5,5,2,12,11.0,23,27,34877,31075,91,36,14,433,275204,36540,36107,7330,21623,541,1
1541,0,1,1,1,0,0,1,0,0,1,2,1,14,2.5,18,29,44130,42018,101,46,12,517,479077,71590,111651,38843,80924,1254,1,2,2,1,9,7,2,15,10.5,27,39,52613,46150,158,63,13,612,584613,87877,94804,19814,73449,705,1
2167,0,1,1,1,0,0,2,1,0,8,6,2,17,6.0,44,67,68806,63670,195,90,32,604,709788,136830,177216,50613,113840,1146,2,3,1,1,6,4,2,17,2.857142857142857,37,64,67391,65140,235,104,44,584,659498,142625,171101,57833,158445,1161,0
1716,1,0,0,0,1,1,2,2,2,11,7,2,18,12.5,31,44,62142,55830,161,76,26,716,707247,103336,96927,30126,93685,1551,0,2,0,0,1,4,2,15,5.0,18,34,48751,46160,140,67,26,669,548294,70331,125077,32858,91640,987,0
1175,1,1,1,1,1,0,0,0,0,1,2,1,13,4.0,9,10,30753,28630,95,46,18,464,312967,30809,62547,16653,39463,515,0,3,1,2,9,3,2,14,9.0,15,20,41247,33260,110,57,14,533,445752,50212,50928,13105,42429,818,1
2073,1,0,1,1,1,1,0,1,0,6,4,2,18,2.6666666666666665,35,48,67035,64106,176,73,27,625,679242,118894,154373,25391,116843,601,1,4,2,1,8,11,4,18,8.75,53,92,74310,68010,225,100,17,667,831382,129797,152213,45649,106768,908,1
1526,0,1,1,1,0,0,1,0,0,1,3,2,15,2.0,24,27,45097,42285,145,57,22,474,414582,73504,111715,32271,75678,768,1,2,2,2,9,12,2,16,10.0,37,57,54701,47485,149,75,11,472,524626,92377,103446,26988,90437,870,1
918,1,1,1,1,0,0,0,0,0,0,3,1,10,1.0,7,6,23244,22135,49,30,5,331,194606,29992,45380,5817,28505,680,0,1,0,0,4,6,2,12,11.0,25,26,36389,30500,64,29,14,383,266121,33164,45237,15689,24574,611,1
1238,1,1,1,1,1,0,0,0,0,1,3,3,12,2.0,10,19,33875,32578,91,48,13,520,330480,41384,76305,19000,61964,681,1,3,0,2,4,7,3,14,16.0,26,42,44543,34700,126,60,12,506,449537,60408,60189,21816,51152,631,1
1658,1,1,1,1,0,0,2,0,0,2,3,3,15,2.5,30,50,53866,53235,154,62,30,574,545692,81856,125658,31016,96298,1006,1,2,1,1,10,6,2,17,5.4,41,79,63123,57335,199,91,24,587,677726,106658,109230,33692,102302,539,1
866,1,1,1,1,1,0,0,0,0,0,0,1,8,1.0,5,7,20120,15950,49,30,7,251,134772,19060,39200,6743,21815,309,0,1,1,1,7,10,2,11,10.0,22,24,33068,27560,59,31,6,348,214874,27959,31579,8534,16598,270,1
1703,1,1,0,0,0,1,0,1,2,4,5,3,17,7.0,22,43,57353,54745,154,71,30,714,629106,63620,79132,15803,77252,461,1,3,1,0,9,5,1,17,2.5,20,21,56524,51400,177,80,25,776,738936,63719,93732,20697,93039,782,1
1339,1,1,1,1,1,0,0,0,0,1,3,1,14,1.6,19,21,39472,35925,76,41,7,478,338097,49566,97877,25004,56873,610,1,3,1,2,10,6,2,16,6.0,35,39,52754,45978,128,51,10,523,513274,80045,74711,22960,45424,821,1
1279,1,1,1,0,1,0,0,0,2,2,6,1,13,7.0,11,17,36107,31625,93,45,15,503,376866,43351,58793,12102,35342,465,0,3,0,0,3,4,3,14,7.0,18,38,40505,37025,118,52,16,535,414565,43044,62637,20149,54528,692,1
